lat,lng
34.009636425930886, -117.99397680703342
34.009010334599644, -117.99409804133586
34.0083393468176, -117.99430330606938
34.00761056458752, -117.99461313963532
34.00676619676118, -117.9953412485014
34.006355246617424, -117.99610421366644
34.006111244044966, -117.99713441025354
34.006268561573286, -117.99728545411406
34.006387352166854, -117.99831952362068
34.00641945770747, -117.99858288219346
34.00629103548541, -117.99871068853699
34.00619792925296, -117.99905150545301
34.00639698383263, -117.99890046159251
34.00623003486191, -117.99950076411508
34.00640340494033, -117.99939619528857
34.00655430083163, -117.99988418314561
34.006300667152814, -118.00047286692943
34.00645477377849, -118.00042639189542
34.00687214448544, -118.00074397129447
34.00646761598469, -118.00099958398148
34.00630708826795, -118.00135201971761
34.005713133077045, -118.00177804086266
34.006047032722634, -118.00264170191127
34.00622361373522, -118.00277338117431
34.006246087655946, -118.00300188342482
34.006040611587984, -118.00354409215487
34.005270071891545, -118.00417537807147
34.00493295856797, -118.00540309360416
34.00448347207369, -118.00616605874573
34.004383942599695, -118.00654560485678
34.00381244851035, -118.00710330529357
34.003212054524305, -118.00783528707915
34.00268550227414, -118.00794372883531
34.002370853651925, -118.00808315393733
34.00185392838498, -118.0087105668964
34.001744763609985, -118.00880351697829
34.00169957513451, -118.00874852985119
34.00158676486924, -118.00859649387493
34.00150529069559, -118.00832602103318
34.001418245547555, -118.00791611186897
34.001263653149934, -118.0074700836634
34.001279164817426, -118.00738164140087
34.00118243732552, -118.0070446940426
34.001414399798335, -118.00672506193858
34.00132386687207, -118.00646650491574
34.001099531179314, -118.00609071396948
34.00102763712407, -118.00580244699026
34.000945757706106, -118.0056233842044
34.00098902732538, -118.00529175673248
34.00105825867086, -118.00512875338363
34.00096904272092, -118.00492609731272
34.00080505009791, -118.00477589361128
34.00073222614692, -118.00471219114354
34.00072777888112, -118.00447280399437
34.00080727372208, -118.00434942238252
34.00085452586977, -118.00415160946159
34.00102296564782, -118.00403426281986
34.00131481596352, -118.00392965666532
34.001437670751585, -118.00384986094653
34.00153528102609, -118.0036622818545
34.00145178100984, -118.00288984021964
34.00153232407555, -118.0027661139337
34.00170304758615, -118.00264820029207
34.001838364341204, -118.00270195262416
34.002134011106484, -118.00253236976525
34.00216364464111, -118.00228132063828
34.00231387961731, -118.00216244637116
34.00248547795056, -118.00213168869666
34.002854172003005, -118.00170191253557
34.00289827735198, -118.00148910266878
34.00317513797809, -118.00164432861769
34.003371893893764, -118.00170327572155
34.005313494209716, -117.9960242782772
34.00536293837757, -117.99629157261472
34.005454424471644, -117.99584965218064
34.00539140969573, -117.9957454038515
34.00549133310441, -117.99567699088551
34.005613705344366, -117.995775832743
34.005558811438135, -117.99545776745849
34.005625752673815, -117.99521612823676
34.00598301210393, -117.9952117860447
34.006139593852, -117.99529645871365
34.00606400270231, -117.99562320837452
34.00616119131098, -117.99597058342925
34.00635376841278, -117.99598686663974
