lat,lng
33.96593673322659,-117.9176803748063
33.96585690837609,-117.91768590712229
33.96617724231053,-117.91843692562941
33.965928093799114,-117.91966001291246
33.9652073386387,-117.92030374306144
33.964584458888886,-117.92051831977777
33.964344204052075,-117.9224495102247
33.96395267619733,-117.92434851416415
33.963819200376484,-117.9264835526281
33.96434420404818,-117.92783538594092
33.9675653421145,-117.92916576159263
33.96855880616517, -117.92995516355028
33.970545234923186, -117.93026673529666
33.969996145435196, -117.93168828138951
33.96970544956507, -117.93131828994068
33.969140204750786, -117.93159091521878
33.96891410577314, -117.93209721930663
33.96910790493364, -117.93273983603353
33.96936630312733, -117.93347981893118
33.97020609183455, -117.93373297097511
33.97035143903813, -117.93581660702903
33.970577534194405, -117.93642027728762
33.97049678599333, -117.93864022598058
33.9717241504454, -117.94025650457348
33.97303224298232, -117.94134700568581
33.97328358247378, -117.94131547851957
33.97366799674329, -117.94204531170189
33.97468218775147, -117.94240036568252
33.97582722757623, -117.94270610661025
33.97478851352753, -117.94158176900504
33.97455950399849, -117.94073358449583
33.97497662803638, -117.93921474246773
33.97564729376785, -117.93879065021315
33.97793733206228, -117.93872161187763
33.978640688565854, -117.93869202404592
33.978665224152806, -117.93784383953671
33.97944218077971, -117.93690689149591
33.97975296142775, -117.93679840277963
33.97937675313008, -117.93626582180875
33.979736604579855, -117.9351907972564
33.981421343407355, -117.93537818685905
33.98116781688731, -117.93512175898418
33.98124142143876, -117.93468780411901
33.981077855682315, -117.9346582162873
33.98036634097942, -117.93412563531639
33.98089793298669, -117.93353387868208
33.98085704141184, -117.93327745080722
33.98110239056584, -117.93284349594204
33.98089793298916, -117.93167970782966
33.981298669381644, -117.93126547818565
33.981323204201445, -117.93099918770021
33.9810369641965, -117.93059482066674
33.98064440490804, -117.92977622398926
33.980415411152606, -117.92971704832586
33.979687534047656, -117.92911542908095
33.979507608409335, -117.92876037510035
33.979057792647446, -117.92855326027835
33.97785447575267, -117.92980570759276
33.97755935501455, -117.92990061067466
33.976693661606035, -117.93012205119913
33.97635918677418, -117.9304621205869
33.975671703912, -117.93022638860599
33.974893797724164, -117.93073184355926
33.97486358763157, -117.93069996802167
33.97530540916651, -117.93024915684714
33.97507128180147, -117.92942950016617
33.97520345055451, -117.92941128557327
33.975422472607264, -117.92900145723276
33.97536582902701, -117.92898324263984
33.97515058307794, -117.92931565896045
33.974856035106754, -117.92900601088098
33.97476540475646, -117.92913351303136
33.97493156032484, -117.9300442426769
33.974810719943676, -117.93029013968119
33.97398371395704, -117.93040398089659
33.97340216154627, -117.93067264614778
33.97331908230832, -117.9306407706102
33.973609859286, -117.93030835428955
33.973945950917404, -117.93013531565693
33.97441421120025, -117.93008522552641
33.97432735666518, -117.92901511819291
33.97425183091038, -117.92900601089646
33.97422539688034, -117.92979834568806
33.97392329309637, -117.92980289933628
33.9740818977168, -117.92896958171065
33.973968608732406, -117.92893315252482
33.973734477686314, -117.92966628988945
33.97377601711252, -117.92898779630356
33.97391196418359, -117.92864171903824
33.97433113295115, -117.92841403662686
33.973768464491094, -117.9285688606666
33.97355321449822, -117.92880109672623
33.97345503010998, -117.92913806669506
33.973156699927046, -117.92881931131913
33.97351922760741, -117.92823189069777
33.9739195167923, -117.92796777910056
33.974074345130866, -117.92768545282308
33.97490135021756, -117.92759893350674
33.974897573956916, -117.92735759015068
33.97448218426112, -117.92723464164854
33.97399504285062, -117.92684758154921
33.974089450318715, -117.92619185620443
33.97379489867149, -117.92550425532202
33.973764688188446, -117.92483942268079
33.973991266549696, -117.92540407506102
33.97460680138293, -117.9258275643462
33.974270712363705, -117.92538586046811
33.97410077920786, -117.92528568020711
33.97409322661528, -117.92394690762819
33.974081897713496, -117.92371922512767
33.973032080676624, -117.92320466287795
33.97280927611297, -117.92337314786236
33.972476956357006, -117.92304983883821
33.97202001455187, -117.92258081306095
33.972201281008395, -117.92158811774729
33.97198225065814, -117.92088230227202
33.97202756732862, -117.92048158122797
33.971978474267836, -117.92040872285634
33.97135536757214, -117.92100980442238
33.971109900013474, -117.92078667563136
33.97090597260547, -117.92078212198312
33.97062273928306, -117.92005353826671
33.97033572855404, -117.92013095028658
33.97015351400343, -117.91995677324184
33.970105195575236, -117.91937757967031
33.96983518032415, -117.91909312365588
33.96983518030365, -117.91818834783976
33.96949694946375, -117.91798957134775
33.969266724341075, -117.9173144167111
33.969059236968164, -117.91621086446237
33.96886880289371, -117.91582016578361
33.96870679149052, -117.91567279700507
33.968826168343845, -117.91528209838283
33.96914734809348, -117.91487769103705
33.96910471368326, -117.91485370077078
33.96858457215759, -117.91519641886043
33.968004738488865, -117.91541575844838
33.96689337961521, -117.91557683595055
33.966754103421344, -117.91559397185843
33.96646986561778, -117.91658442713758
33.96581303333777, -117.91766701064326
